player_id,player_display_name,recent_team,season,week,opponent_team,is_home,is_division_rival,total_line,team_spread,team_implied_total,rolling_4wk_avg_te_fantasy_points_allowed,rolling_4wk_avg_te_receiving_yards_allowed,rolling_4wk_avg_te_receptions_allowed,snap_percentage,routes_run,targets,receptions,target_share,air_yards_share,red_zone_targets,receiving_yards,receiving_tds,receiving_yards_after_catch,yac_per_reception,receiving_air_yards,average_depth_of_target,yards_per_route_run,fantasy_points,fantasy_points_ppr,dk_fantasy_points,fd_fantasy_points,dk_showdown_captain_points
00-0039793,A.J. Barner,SEA,2024,3,MIA,1,0,41.5,4.0,18.75,7.374999821186066,58.75,5.5,0.0,3.0,3,3,0.09090909361839294,0.010362694039940834,0.0,13.0,0,11.0,3.6666666666666665,2.0,0.6666666666666666,4.333333333333333,1.2999999523162842,4.300000190734863,4.3,2.8,6.449999999999999
00-0039793,A.J. Barner,SEA,2024,4,DET,0,0,0.0,0.0,0.0,2.6499999687075615,27.5,2.5,0.0,2.0,2,2,0.03773584961891174,0.013114754110574722,1.0,27.0,1,23.0,11.5,4.0,2.0,13.5,8.699999809265137,10.699999809265137,10.7,9.7,16.049999999999997
00-0039793,A.J. Barner,SEA,2024,5,NYG,1,0,42.5,7.0,17.75,4.675000011920929,46.75,5.0,0.0,1.0,1,1,0.025641025975346565,0.03553299605846405,0.0,13.0,0,6.0,6.0,7.0,7.0,13.0,1.2999999523162842,2.299999952316284,2.3,1.8,3.4499999999999997
00-0039793,A.J. Barner,SEA,2024,6,SF,1,1,49.0,-3.5,26.25,5.950000047683716,29.5,4.25,0.0,1.0,1,1,0.02083333395421505,0.024449877440929413,0.0,13.0,0,3.0,3.0,10.0,10.0,13.0,1.2999999523162842,2.299999952316284,2.3,1.8,3.4499999999999997
00-0039793,A.J. Barner,SEA,2024,7,ATL,0,0,0.0,0.0,0.0,7.324999928474426,37.25,3.75,0.0,1.0,1,1,0.0357142873108387,0.01075268816202879,0.0,5.0,0,1.0,1.0,4.0,4.0,5.0,0.5,1.5,1.5,1.0,2.25
00-0039793,A.J. Barner,SEA,2024,8,BUF,1,0,45.5,-3.0,24.25,4.80000002682209,48.0,5.5,0.0,2.0,2,2,0.07407407462596893,0.2839506268501282,0.0,34.0,0,11.0,5.5,23.0,11.5,17.0,3.4000000953674316,5.400000095367432,5.4,4.4,8.100000000000001
00-0039793,A.J. Barner,SEA,2024,9,LA,1,1,48.5,-1.5,25.0,11.349999874830246,68.5,5.5,0.0,7.0,7,4,0.20588235557079315,0.022922636941075325,2.0,27.0,0,19.0,4.75,8.0,1.1428571428571428,3.857142857142857,2.700000047683716,6.699999809265137,6.7,4.7,10.05
00-0039793,A.J. Barner,SEA,2024,11,SF,0,0,0.0,0.0,0.0,5.425000011920929,54.25,6.5,0.0,4.0,4,2,0.12903225421905518,0.11070110648870468,0.0,15.0,0,10.0,5.0,30.0,7.5,3.75,1.5,3.5,3.5,2.5,5.25
00-0039793,A.J. Barner,SEA,2024,12,ARI,1,1,46.5,-1.0,23.75,4.600000090897083,46.0,5.5,0.0,4.0,4,3,0.1428571492433548,0.05263157933950424,0.0,19.0,0,12.0,4.0,8.0,2.0,4.75,1.899999976158142,4.900000095367432,4.9,3.4000000000000004,7.3500000000000005
00-0039793,A.J. Barner,SEA,2024,13,NYJ,0,0,0.0,0.0,0.0,4.8499999567866325,48.5,5.25,0.0,2.0,2,2,0.06896551698446274,-0.020408162847161293,1.0,14.0,1,18.0,9.0,-4.0,-2.0,7.0,7.400000095367432,9.399999618530273,9.4,8.4,14.100000000000001
